2018/10/15 10:47:37.252 [E]  json.Unmarshal depthDoc.Text() failed: json: cannot unmarshal number into Go struct field OKexDepth.asks of type string
2018/10/15 10:47:37.252 [E]  json.Unmarshal depthDoc.Text() failed: json: cannot unmarshal number into Go struct field OKexDepth.asks of type string
2018/10/15 10:47:37.383 [E]  http.Get failed for OKex err: Get https://www.okex.com/api/v1/depth.do?symbol=ltc_btc: dial tcp 31.13.73.23:443: connect: connection refused
2018/10/15 10:47:37.899 [E]  http.Get failed for OKex err: Get https://www.okex.com/api/v1/depth.do?symbol=ltc_eth: dial tcp 31.13.73.23:443: connect: connection refused
2018/10/15 10:47:38.257 [E]  json.Unmarshal depthDoc.Text() failed: json: cannot unmarshal number into Go struct field OKexDepth.asks of type string
2018/10/15 10:47:38.257 [E]  json.Unmarshal depthDoc.Text() failed: json: cannot unmarshal number into Go struct field OKexDepth.asks of type string
2018/10/15 10:47:38.419 [E]  http.Get failed for OKex err: Get https://www.okex.com/api/v1/depth.do?symbol=ltc_eth: dial tcp 31.13.73.23:443: connect: connection refused
2018/10/15 10:47:38.935 [E]  http.Get failed for OKex err: Get https://www.okex.com/api/v1/depth.do?symbol=ltc_eth: dial tcp 31.13.73.23:443: connect: connection refused
2018/10/15 10:47:39.258 [E]  json.Unmarshal depthDoc.Text() failed: json: cannot unmarshal number into Go struct field OKexDepth.asks of type string
2018/10/15 10:47:39.258 [E]  json.Unmarshal depthDoc.Text() failed: json: cannot unmarshal number into Go struct field OKexDepth.asks of type string
2018/10/15 10:47:39.448 [E]  http.Get failed for OKex err: Get https://www.okex.com/api/v1/depth.do?symbol=ltc_eth: dial tcp 31.13.73.23:443: connect: connection refused
2018/10/15 10:47:39.964 [E]  http.Get failed for OKex err: Get https://www.okex.com/api/v1/depth.do?symbol=ltc_eth: dial tcp 31.13.73.23:443: connect: connection refused
2018/10/15 10:47:40.259 [E]  json.Unmarshal depthDoc.Text() failed: json: cannot unmarshal number into Go struct field OKexDepth.asks of type string
2018/10/15 10:47:40.259 [E]  json.Unmarshal depthDoc.Text() failed: json: cannot unmarshal number into Go struct field OKexDepth.asks of type string
